Carimbo de data/hora,1 - Acho que gostaria de utilizar o sistema com frequência.,2 - Achei o sistema mais complexo do que o necessário.,3 - Achei o sistema fácil de usar.,4 - Acho que precisaria de ajuda de um técnico para conseguir usar o sistema.,5 - Considero que as várias funcionalidades do sistema estão bem integradas.,6 - Acho que o sistema apresenta muitas inconsistências,7 - Suponho que a maioria das pessoas aprenderia a utilizar o sistema rapidamente.,8 - Considerei o sistema muito complicado de utilizar.,9 -  Eu me senti confiante ao usar o sistema.,10 -   Eu precisei aprender várias coisas novas antes de conseguir usar o sistema  .,Informações adicionais (Opcional)
03/02/2025 09:31:44,Concordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,Concordo,Discordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,
03/02/2025 09:32:19,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,"Muito bom, mas queria o hack de ficar invisível, como o Jão."
03/02/2025 09:32:20,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,
03/02/2025 09:33:02,Concordo fortemente,Discordo,Concordo,Discordo fortemente,Concordo,Discordo fortemente,Concordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,"Jogo muito bom, Galera da Ubisoft ta de parabens"
03/02/2025 09:43:53,Concordo,Discordo,Concordo,Discordo fortemente,Concordo,Concordo,Concordo fortemente,Discordo fortemente,Concordo,Discordo,"Rafael lindo, tem um sorrisão encantador, saudades de vc lindo."
03/02/2025 09:44:55,Concordo fortemente,Discordo,Concordo,Concordo,Concordo,Não concordo nem discordo,Concordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,
03/02/2025 09:44:56,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não concordo nem discordo,Concordo,Concordo,Discordo,Concordo,Discordo fortemente,"Alguns bugs, mas divertido."
03/02/2025 09:44:57,Concordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,
03/02/2025 09:49:23,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Muito bom! Ubisoft contrata os caras!
03/02/2025 09:49:45,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Não concordo nem discordo,Concordo fortemente,Discordo fortemente,Concordo,Não concordo nem discordo,Criativo e legal!!!!!!!!!!
03/02/2025 09:49:58,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Muito bom o jogo.
03/02/2025 09:49:59,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Concordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Bom
03/02/2025 09:59:34,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,"Adorei o jogo, principalmente a interface, quem fez merece mais pontos. as outros funcionalidade precisam melhorar.  Mas o jogo e maravilhoso"
03/02/2025 10:04:53,Concordo,Não concordo nem discordo,Concordo,Concordo,Concordo fortemente,Concordo,Não concordo nem discordo,Discordo fortemente,Concordo,Concordo,"Animações bem feitas, mapa de neve muito bem estruturado"
03/02/2025 10:05:25,Não concordo nem discordo,Discordo,Concordo,Não concordo nem discordo,Concordo fortemente,Discordo,Concordo,Discordo fortemente,Concordo,Discordo,"Jogo muito lindo! Alguns bugs, mas deixam a jogatina muito divertida!"
03/02/2025 10:06:12,Não concordo nem discordo,Discordo fortemente,Concordo fortemente,Discordo,Concordo,Concordo,Concordo fortemente,Discordo,Concordo fortemente,Discordo,"Muito bom, pena que tem vários bugs quanto ao gerenciamento de rounds das vitórias dos jogadores."
,,,,,,,,,,,
,5,2,5,1,4,2,5,1,5,1,"92,5"
,5,1,5,2,5,1,5,1,5,1,"97,5"
,5,1,5,1,5,4,5,1,5,1,"92,5"
,5,2,4,1,4,1,5,2,5,1,90
,4,2,4,1,4,4,5,1,4,2,"77,5"
,5,2,4,4,4,3,5,2,5,1,"77,5"
,3,3,4,4,3,4,4,2,4,1,60
,5,2,5,1,4,1,5,1,5,1,95
,5,1,5,1,5,2,4,1,5,1,95
,4,1,5,1,5,3,5,1,4,3,85
,4,1,5,1,4,2,4,1,5,1,90
,5,1,5,1,4,4,5,1,5,1,90
,5,1,5,1,5,5,5,1,5,1,90
,4,3,4,4,5,4,3,1,4,4,60
,3,2,4,3,5,2,4,1,4,2,75
,3,1,5,2,4,4,5,2,5,2,"77,5"
,,,,,,,,,,Resultado:,90